#Institute_Name	Country
Academy of Military Medical Sciences	NA
Academy of Military Medical Sciences, Field Blood Transfusion Institution	NA
Academy of Military Medical Sciences, Institute of Basic Medicine	NA
Academy of Military Medical Sciences, Institute of Bioengineering	NA
Academy of Military Medical Sciences, Institute of Disease Control and Prevention	NA
Disease Control and Prevention Institute	NA
Academy of Military Medical Sciences, Institute of Health Service and Medical Information	NA
Academy of Military Medical Sciences, Institute of Hygiene and Environmental Medicine	NA
Academy of Military Medical Sciences, Institute of Medical Equipment	NA
Academy of Military Medical Sciences, Institute of Microbiology and Epidemiology	NA
Institute of Microbial Epidemiology	NA
Academy of Military Medical Sciences, Institute of Radiation and Radiation 	NA
Institute of Radiation and Radiation Medicine	NA
Institute of Electromagnetic and Particle Radiation Medicine	NA
Academy of Military Medical Sciences, Institute of Toxicology and Pharmacology 	NA
Institute of Toxicology and Drugs	NA
Academy of Military Medical Sciences, Military Veterinary Research Institute	NA
Air Force Aviation University	NA
Air Force Command College	NA
Air Force Communication NCO Academy	NA
Air Force Early Warning Academy	NA
Air Force Engineering University	NA
Air Force Harbin Flight Academy	NA
Air Force Logistics College	NA
Air Force Medical University	NA
Air Force Shijianzhuang Flight Academy	NA
Air Force Xi'an Flight Academy	NA
Amirkabir University of Technology	NA
Army Academy of Armored Forces	NA
Army Academy of Artillery and Air Defense	NA
Army Academy of Border and Coastal Defense	NA
Army Aviation Academy	NA
Army Command College	NA
Army Engineering University	NA
Army Infantry College	NA
Army Institute of NBC Defence	NA
Army Logistic University	NA
Army Medical University	NA
Army Military Transportation University	NA
Army Special Operations Academy	NA
Astrakhan State University	NA
ATR Defense S&T Key Laboratory of Intelligent Information Processing at Shenzhen University	NA
Bauman Moscow State Technical University	NA
Beijing Academy of Quantum Information Sciences	NA
Beijing Aeronautical Manufacturing Technology Research Institute 	NA
Aviation Industry Corporation of China’s Institute 625	NA
Beijing Computational Science Research Center 	NA
Beijing Computing Science Research Center	NA
CSRC	NA
Beijing Institute of Technology	NA
Beijing University of Aeronautics and Astronautics 	NA
Beihang University	NA
Beijing University of Posts and Telecommunications	NA
Center for High Pressure Science and Technology Advanced Research 	NA
Beijing High Voltage Research Center	NA
Changchun University of Science and Technology 	NA
Changchun Institute of Optics and Fine Mechanics	NA
China Coast Guard Academy 	NA
China Maritime Police Academy	NA
People’s Armed Police China Coast Guard Academy	NA
PAP China Coast Guard Academy	NA
Chinese Academy of Engineering Physics 	NA
Ninth Academy	NA
Southwest Computing Center	NA
Southwest Institute of Applied Electronics	NA
Southwest Institute of Chemical Materials	NA
Southwest Institute of Electronic Engineering	NA
Southwest Institute of Environmental Testing	NA
Southwest Institute of Explosives and Chemical Engineering	NA
Southwest Institute of Fluid Physics	NA
Southwest Institute of General Designing and Assembly	NA
Southwest Institute of Machining Technology	NA
Southwest Institute of Materials	NA
Southwest Institute of Nuclear Physics and Chemistry 	NA
China Academy of Engineering Physics’ 902 Institute	NA
Southwest Institute of Research and Applications of Special Materials Factory	NA
Southwest Institute of Structural Mechanics	NA
The High Power Laser Laboratory, Shanghai	NA
The Institute of Applied Physics and Computational Mathematics, Beijing	NA
901 Institute	NA
Chinese Academy of Sciences - Center for Excellence in Quantum Information and Quantum Physics	NA
Chinese Academy of Sciences (CAS) - Institute of Computing Technology (ICT) 	NA
Institute of Computing Technology Chinese Academy of Sciences	NA
Institute of Computing Technology	NA
CAS ICT	NA
ICT CAS	NA
Chinese Academy of Sciences - Institute of Physics	NA
Chinese Academy of Sciences - Key Laboratory for Quantum Information	NA
Chinese Academy of Sciences - Shanghai Institute of Microsystem and Information Technology	NA
Chinese Academy of Sciences - Shenyang Institute of Automation	NA
Chongqing University	NA
Dalian Naval Academy	NA
Dalian University of Technology	NA
Defense S&T Key Laboratory of Antennas and Microwave Technology at Xidian University	NA
National Key Laboratory of Science and Technology on Antennas and Microwaves	NA
Xidian Antenna Institute	NA
Key Laboratory of Antenna and Microwave Technology	NA
National Key Laboratory of Antenna and Microwave Technology	NA
Antennas and Microwave Technology Key Laboratory of National Defense	NA
Defense S&T Key Laboratory of Antennas and Microwave Technology	NA
Science and Technology on Antenna and Microwave Laboratory	NA
State Key Laboratory of Antennas and Microwave Technology	NA
National Laboratory of Antennas and Microwave Technology	NA
National Key Laboratory of Science and Technology on Antenna and Microwave	NA
Defense S&T Key Laboratory of Electronic Measurement Technology at North University of China 	NA
Defense S&T Key Laboratory of Signal Detection	NA
Key Laboratory of Signal Detection	NA
National Key Laboratory for Electronic Measurement Technology	NA
State Key Laboratory for Electronic Measurement Technology	NA
Key Laboratory for Electronic Measurement Technology	NA
Defense Key Laboratory for Electronic Measurement Technology	NA
China Electronics Technology Instruments Co., Ltd (CETI) Key Laboratory for Electronic Measurement Technology	NA
CETI 41st RI Key Laboratory for Electronic Measurement Technology	NA
North University of China Key Laboratory for Electronic Measurement Technology	NA
North University of China School of Instrument and Electronics Key Laboratory for Electronic Measurement Technology	NA
North University of China School of Electronics and Computer Science & Technology	NA
Key Laboratory for Electronic Measurement Technology	NA
Defense S&T Key Laboratory of High-Power Semiconductor Lasers at Changchun University of Science and Technology 	NA
State Key Laboratory of High Power Semiconductor Laser of Changchun University of Science and Technology	NA
State Key Laboratory on High-Power Semiconductor Lasers	NA
National Key Laboratory on High Power Semiconductor Laser	NA
Key Laboratory on High Power Semiconductor Laser	NA
Defense Key Laboratory on High Power Semiconductor Laser	NA
Defense S&T Key Laboratory of Lightweight, High-strength Structural Materials at Central South University 	NA
State Key Laboratory for Light Weight and High Strength Structural Materials	NA
Central South University National Key Laboratory for High-strength Structural Materials	NA
National Key Laboratory of Science and Technology for National Defence on High-strength Structural Materials	NA
National Key Laboratory of Science and Technology for National Defence on High-strength Lightweight Structural Materials	NA
Key Laboratory on High-strength Lightweight Structural Materials	NA
Defense S&T Key Laboratory of Multi-spectral Information Processing Technology at Huazhong University of S&T 	NA
National Key Laboratory of Science and Technology on Multi-spectral Information Processing	NA
National Key Laboratory of Multi-spectral Information Processing Technology	NA
State Key Laboratory for Multispectral Information Processing Technologies	NA
Defense S&T Key Laboratory of Radar Signal Processing at Xidian University 	NA
National Key Laboratory of Science and Technology on Radar Signal Processing	NA
National Lab of Radar Signal Processing	NA
Xidian Electronics Research Institute	NA
National Key Laboratory of Radar Signal Processing	NA
Key Laboratory for Radar Signal Processing	NA
State Laboratory of Radar Signal Processing	NA
National Laboratory of Radar Signal Processing	NA
Federal Autonomous Institution Central Institute of Engine-Building N.A.P.I. Baranov	NA
Central Institute of Aviation Motors	NA
CIAM	NA
Federal Research Center Boreskov Institute of Catalysis	NA
Federal State Budgetary Institute A.V. Zhirmunskiy National Scientific Research Center of Marine Biology, Far East Branch, Russian Academy of Sciences	NA
Federal State Budgetary Institution of Science Institute of Bioorganic Chemistry named after Academicians M.M. Shemyakin and Yu.A. Ovchinnikov, Russian Academy of Sciences	NA
Federal State Budgetary Institution of Science Federal Research Center Pushchino Scientific Center for Biology, Russian Academy of Sciences	NA
Federal State Budgetary Institution of Science Institute of Molecular and Cell Biology, Siberian Branch of the Russian Academy of Sciences	NA
Federal State Budgetary Institution of Science P.I.K.A. Valiev RAS of the Ministry of Science and Higher Education of Russia 	NA
FTIAN IM K.A.Valiev RAS	NA
FTI RAS	NA
FTIAN	NA
